Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,2/3/2022 16:35,2/3/2022 17:38,10,14.4,56,60,44,0,12,4,544,70,96,TRUE
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,2/2/2022 20:18,2/3/2022 4:14,69,14.1,405,476,176,81,148,71,585,127,85,FALSE
2/2/2022 5:38,2/2/2022 20:18,UTC-06:00,2/2/2022 5:38,2/2/2022 9:59,44,14.4,226,260,98,38,90,34,520,34,86,FALSE
2/1/2022 0:08,2/2/2022 5:38,UTC-06:00,2/1/2022 0:08,2/1/2022 8:26,88,13.8,445,498,201,93,151,53,504,23,89,FALSE
1/30/2022 22:26,2/1/2022 0:08,UTC-06:00,1/30/2022 22:26,1/31/2022 7:01,92,13.6,475,515,172,102,201,40,516,52,92,FALSE
1/29/2022 21:47,1/30/2022 22:26,UTC-06:00,1/29/2022 21:47,1/30/2022 4:14,77,13.5,359,386,162,71,126,27,467,77,93,FALSE
1/29/2022 3:17,1/29/2022 21:47,UTC-06:00,1/29/2022 15:56,1/29/2022 17:08,13,14.1,66,71,48,0,18,5,533,77,97,TRUE
1/29/2022 3:17,1/29/2022 21:47,UTC-06:00,1/29/2022 3:17,1/29/2022 9:36,66,13.9,336,379,164,65,107,43,511,43,89,FALSE
1/27/2022 22:50,1/29/2022 3:17,UTC-06:00,1/27/2022 22:50,1/28/2022 7:03,85,13.8,452,493,163,94,195,41,530,52,92,FALSE
1/27/2022 0:28,1/27/2022 22:50,UTC-06:00,1/27/2022 0:28,1/27/2022 7:31,77,13.8,395,417,188,69,138,22,516,43,94,FALSE
1/25/2022 22:25,1/27/2022 0:28,UTC-06:00,1/25/2022 22:25,1/26/2022 6:22,85,14.1,443,477,155,93,195,34,522,47,93,FALSE
1/24/2022 22:53,1/25/2022 22:25,UTC-06:00,1/24/2022 22:53,1/25/2022 6:40,79,13.4,413,461,182,92,139,48,522,58,90,FALSE
1/24/2022 0:04,1/24/2022 22:53,UTC-06:00,1/24/2022 0:04,1/24/2022 6:54,74,13.4,383,410,139,92,152,27,517,34,93,FALSE
1/22/2022 23:20,1/24/2022 0:04,UTC-06:00,1/22/2022 23:20,1/23/2022 7:25,88,13.3,457,484,180,91,186,27,520,46,94,FALSE
1/21/2022 21:48,1/22/2022 23:20,UTC-06:00,1/21/2022 21:48,1/22/2022 5:27,84,13.6,416,451,179,78,159,35,493,34,92,FALSE
1/20/2022 21:51,1/21/2022 21:48,UTC-06:00,1/20/2022 21:51,1/21/2022 6:29,88,13.6,478,517,164,89,225,39,541,61,92,FALSE
1/19/2022 21:57,1/20/2022 21:51,UTC-06:00,1/19/2022 21:57,1/20/2022 3:59,73,13.6,338,362,152,72,114,24,466,61,94,FALSE
1/18/2022 23:12,1/19/2022 21:57,UTC-06:00,1/19/2022 11:39,1/19/2022 12:39,10,15.9,52,60,33,11,8,8,517,61,100,TRUE
1/18/2022 23:12,1/19/2022 21:57,UTC-06:00,1/18/2022 23:12,1/19/2022 5:49,73,13.6,373,394,130,67,176,21,511,17,95,FALSE
1/17/2022 22:13,1/18/2022 23:12,UTC-06:00,1/17/2022 22:13,1/18/2022 6:41,94,13.6,480,507,136,112,232,27,513,36,95,FALSE
1/16/2022 21:47,1/17/2022 22:13,UTC-06:00,1/16/2022 21:47,1/17/2022 5:31,84,13.5,419,463,169,78,172,44,498,29,90,FALSE
