Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
1/27/2022 22:50,1/29/2022 3:17,UTC-06:00,1/28/2022 14:49,1/28/2022 15:53,64,Weightlifting,5.5,158,139,94,48,33,17,0,0,FALSE,,,
1/27/2022 0:28,1/27/2022 22:50,UTC-06:00,1/27/2022 14:19,1/27/2022 14:29,10,Running,10,159,197,168,2,1,7,7,23,TRUE,1645.71,30.37,12
1/25/2022 22:25,1/27/2022 0:28,UTC-06:00,1/26/2022 8:02,1/26/2022 9:00,58,Functional Fitness,10.8,414,176,123,17,20,18,28,15,FALSE,,,
1/24/2022 22:53,1/25/2022 22:25,UTC-06:00,1/25/2022 9:26,1/25/2022 10:33,66,Functional Fitness,11.7,490,182,125,6,24,38,11,17,FALSE,,,
1/24/2022 0:04,1/24/2022 22:53,UTC-06:00,1/24/2022 15:12,1/24/2022 16:28,76,Weightlifting,6.7,248,138,102,20,65,14,0,0,FALSE,,,
1/22/2022 23:20,1/24/2022 0:04,UTC-06:00,1/23/2022 8:34,1/23/2022 9:16,41,Functional Fitness,13.2,475,184,145,7,14,4,5,64,FALSE,,,
1/21/2022 21:48,1/22/2022 23:20,UTC-06:00,1/22/2022 17:15,1/22/2022 17:38,23,Functional Fitness,6.4,158,158,122,7,16,48,27,0,FALSE,,,
1/21/2022 21:48,1/22/2022 23:20,UTC-06:00,1/22/2022 16:41,1/22/2022 17:06,25,Elliptical,4.8,70,150,98,35,48,13,2,0,FALSE,,,
1/21/2022 21:48,1/22/2022 23:20,UTC-06:00,1/22/2022 6:08,1/22/2022 6:29,21,Running,8.9,227,178,142,3,11,11,35,38,TRUE,16.29,1.28,1.28
1/20/2022 21:51,1/21/2022 21:48,UTC-06:00,1/21/2022 10:43,1/21/2022 11:45,62,Weightlifting,5,120,130,95,44,48,6,0,0,FALSE,,,
1/20/2022 21:51,1/21/2022 21:48,UTC-06:00,1/21/2022 10:15,1/21/2022 10:42,26,Stairmaster,2,27,105,80,89,10,0,0,0,FALSE,,,
1/19/2022 21:57,1/20/2022 21:51,UTC-06:00,1/20/2022 7:46,1/20/2022 8:40,53,Functional Fitness,12.6,430,197,131,5,34,18,21,7,FALSE,,,
1/17/2022 22:13,1/18/2022 23:12,UTC-06:00,1/18/2022 9:45,1/18/2022 10:36,50,Weightlifting,5.9,166,141,102,33,36,27,1,0,FALSE,,,
1/17/2022 22:13,1/18/2022 23:12,UTC-06:00,1/18/2022 9:06,1/18/2022 9:35,28,Running,14.9,478,198,173,1,0,0,0,47,TRUE,5699.62,57.67,-0.39
1/16/2022 21:47,1/17/2022 22:13,UTC-06:00,1/17/2022 16:53,1/17/2022 17:56,63,Box Fitness,12.4,425,197,121,14,32,23,6,12,FALSE,,,
1/15/2022 22:07,1/16/2022 21:47,UTC-06:00,1/16/2022 8:30,1/16/2022 9:36,65,Box Fitness,8.9,350,176,115,9,36,29,19,4,FALSE,,,
1/13/2022 22:01,1/14/2022 23:34,UTC-06:00,1/14/2022 11:20,1/14/2022 12:36,75,Weightlifting,6,190,130,98,35,58,6,0,0,FALSE,,,
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,1/13/2022 15:34,1/13/2022 16:02,28,Box Fitness,11.9,354,179,153,0,3,12,17,65,FALSE,,,
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,1/13/2022 15:02,1/13/2022 15:22,19,Running,10,252,173,154,0,2,4,25,66,TRUE,3639.8,40.45,5.03
1/11/2022 23:58,1/13/2022 0:01,UTC-06:00,1/12/2022 18:22,1/12/2022 18:51,29,Weightlifting,5.6,131,137,111,1,59,39,0,0,FALSE,,,
1/11/2022 23:58,1/13/2022 0:01,UTC-06:00,1/12/2022 18:04,1/12/2022 18:18,13,Running,10.3,202,193,163,3,1,2,5,51,TRUE,132.84,0,0
1/10/2022 22:08,1/11/2022 23:58,UTC-06:00,1/11/2022 9:13,1/11/2022 10:16,62,Weightlifting,8.6,291,180,110,21,41,17,11,7,FALSE,,,
1/9/2022 22:00,1/10/2022 22:08,UTC-06:00,1/10/2022 18:20,1/10/2022 19:21,61,Running,12.6,487,179,126,32,7,6,23,30,TRUE,111.53,0.39,-9.05
1/8/2022 23:22,1/9/2022 22:00,UTC-06:00,1/9/2022 8:37,1/9/2022 9:43,66,Box Fitness,10.2,444,172,120,7,21,55,8,6,FALSE,,,
1/8/2022 0:21,1/8/2022 23:22,UTC-06:00,1/8/2022 10:01,1/8/2022 10:52,50,Box Fitness,12.5,403,192,124,31,11,8,13,25,FALSE,,,
1/5/2022 22:25,1/7/2022 1:08,UTC-06:00,1/6/2022 16:46,1/6/2022 17:25,39,Functional Fitness,10.1,285,181,125,7,32,30,4,22,FALSE,,,
1/5/2022 22:25,1/7/2022 1:08,UTC-06:00,1/6/2022 15:42,1/6/2022 16:46,63,Box Fitness,12,384,184,117,31,29,8,3,26,FALSE,,,
1/4/2022 22:18,1/5/2022 22:25,UTC-06:00,1/5/2022 8:09,1/5/2022 9:29,79,Functional Fitness,7.4,266,172,101,34,45,13,4,2,FALSE,,,
1/4/2022 1:32,1/4/2022 22:18,UTC-06:00,1/4/2022 16:22,1/4/2022 16:48,25,Running,12.2,352,190,158,0,1,3,15,62,TRUE,4771.13,61.79,7.38
1/3/2022 2:44,1/4/2022 1:32,UTC-06:00,1/3/2022 15:49,1/3/2022 16:57,68,Weightlifting,11.1,427,193,119,9,33,36,8,5,FALSE,,,
1/1/2022 22:13,1/3/2022 2:44,UTC-06:00,1/2/2022 10:12,1/2/2022 10:41,29,Running,13.5,414,188,160,5,0,4,7,55,TRUE,114.4,3.55,-8.66
1/1/2022 1:11,1/1/2022 22:13,UTC-06:00,1/1/2022 17:51,1/1/2022 18:48,57,Functional Fitness,12.8,358,200,117,44,19,4,3,12,FALSE,,,
12/30/2021 23:43,1/1/2022 1:11,UTC-06:00,12/31/2021 10:24,12/31/2021 11:42,77,Functional Fitness,10,395,163,113,16,40,23,10,9,FALSE,,,
12/28/2021 22:50,12/30/2021 0:36,UTC-06:00,12/29/2021 17:05,12/29/2021 17:47,42,Functional Fitness,12.6,423,180,138,14,12,9,15,45,FALSE,,,
12/28/2021 1:29,12/28/2021 22:50,UTC-06:00,12/28/2021 17:16,12/28/2021 17:28,11,Running,8.7,163,180,159,1,1,1,13,77,TRUE,2350.95,26.28,-5.24
12/28/2021 1:29,12/28/2021 22:50,UTC-06:00,12/28/2021 15:43,12/28/2021 17:13,90,Weightlifting,8.3,367,153,105,24,45,24,5,0,FALSE,,,
12/27/2021 0:54,12/28/2021 1:29,UTC-06:00,12/27/2021 9:41,12/27/2021 10:18,37,Functional Fitness,12.4,410,185,143,7,4,16,27,37,FALSE,,,
12/26/2021 2:28,12/27/2021 0:54,UTC-06:00,12/26/2021 13:52,12/26/2021 16:09,136,Hiking/Rucking,2,133,106,81,97,2,0,0,0,TRUE,3470.89,24.89,4.43
12/24/2021 21:52,12/26/2021 2:28,UTC-06:00,12/25/2021 16:24,12/25/2021 16:38,14,Functional Fitness,7.5,154,173,147,0,2,23,21,53,FALSE,,,
12/24/2021 21:52,12/26/2021 2:28,UTC-06:00,12/25/2021 8:39,12/25/2021 9:25,46,Functional Fitness,9.7,300,169,122,21,25,18,11,23,FALSE,,,
