Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
1/15/2022 22:07,1/16/2022 21:47,UTC-06:00,61,48,60,,,10.9,1821,176,65,1/15/2022 22:07,1/16/2022 6:28,90,13.7,451,501,156,103,192,50,500,40,90
1/14/2022 23:34,1/15/2022 22:07,UTC-06:00,92,47,79,,,7.1,1519,145,60,1/14/2022 23:34,1/15/2022 6:22,82,13.4,376,408,177,82,117,32,461,0,92
1/13/2022 22:01,1/14/2022 23:34,UTC-06:00,63,51,61,,,8.4,1763,145,63,1/13/2022 22:01,1/14/2022 7:33,100,13.7,534,572,209,118,207,38,523,117,93
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,77,53,93,,,15,2029,179,69,1/13/2022 0:01,1/13/2022 4:14,48,13.5,243,253,121,48,74,10,504,26,97
1/11/2022 23:58,1/13/2022 0:01,UTC-06:00,51,51,57,,,12.9,1879,193,67,1/11/2022 23:58,1/12/2022 7:36,91,13.6,422,451,226,84,112,29,465,0,93
1/10/2022 22:08,1/11/2022 23:58,UTC-06:00,56,49,60,,,10,1821,180,63,1/10/2022 22:08,1/11/2022 7:51,100,13.8,543,582,203,121,219,39,523,45,93
1/9/2022 22:00,1/10/2022 22:08,UTC-06:00,51,49,59,,,13,1882,179,64,1/9/2022 22:00,1/10/2022 5:29,80,14.1,403,448,147,111,145,45,507,35,90
1/8/2022 23:22,1/9/2022 22:00,UTC-06:00,66,50,67,,,11.8,1857,172,66,1/8/2022 23:22,1/9/2022 7:35,88,13.8,458,488,197,92,169,30,520,35,93
1/8/2022 0:21,1/8/2022 23:22,UTC-06:00,73,51,71,,,14.1,2013,192,66,1/8/2022 0:21,1/8/2022 8:25,88,14.2,454,483,168,98,188,29,519,58,94
1/7/2022 1:08,1/8/2022 0:21,UTC-06:00,52,51,63,,,8,1588,162,63,1/7/2022 1:08,1/7/2022 8:23,80,13.9,398,435,145,79,174,37,498,8,91
1/5/2022 22:25,1/7/2022 1:08,UTC-06:00,91,46,74,,,14.8,2263,184,64,1/5/2022 22:25,1/6/2022 7:52,97,13.8,519,564,186,114,219,45,537,74,92
1/4/2022 22:18,1/5/2022 22:25,UTC-06:00,50,47,62,,,8.9,1691,172,64,1/4/2022 22:18,1/5/2022 5:09,67,13.5,374,411,189,71,114,37,561,79,91
1/4/2022 1:32,1/4/2022 22:18,UTC-06:00,57,51,67,,,13.7,1783,190,67,1/4/2022 1:32,1/4/2022 8:00,65,13.7,368,381,183,48,137,13,565,86,96
1/3/2022 2:44,1/4/2022 1:32,UTC-06:00,84,48,74,,,13.2,1943,193,69,1/3/2022 2:44,1/3/2022 8:20,62,13.5,312,337,89,71,152,25,503,17,93
1/1/2022 22:13,1/3/2022 2:44,UTC-06:00,91,46,73,,,14.3,2197,188,61,1/1/2022 22:13,1/2/2022 7:54,94,13.9,559,577,159,128,272,18,593,113,97
1/1/2022 1:11,1/1/2022 22:13,UTC-06:00,77,46,71,,,13.3,1608,200,63,1/1/2022 1:11,1/1/2022 5:29,50,14.1,244,257,120,50,74,13,487,17,95
12/30/2021 23:43,1/1/2022 1:11,UTC-06:00,80,47,67,,,11.1,1902,163,65,12/30/2021 23:43,12/31/2021 8:18,94,13.8,465,514,151,102,212,49,494,37,90
12/30/2021 0:36,12/30/2021 23:43,UTC-06:00,82,50,70,,,4.2,1367,116,59,12/30/2021 0:36,12/30/2021 8:11,87,13.8,419,453,172,114,133,34,481,2,92
12/28/2021 22:50,12/30/2021 0:36,UTC-06:00,71,48,66,,,13.1,1968,180,62,12/28/2021 22:50,12/29/2021 9:12,99,13.9,548,622,196,122,230,74,551,72,88
12/28/2021 1:29,12/28/2021 22:50,UTC-06:00,65,50,65,,,13,1844,180,67,12/28/2021 1:29,12/28/2021 9:07,75,14.3,417,457,132,114,171,40,557,75,91
12/27/2021 0:54,12/28/2021 1:29,UTC-06:00,58,49,60,,,13.5,2009,185,64,12/27/2021 0:54,12/27/2021 7:30,74,13.8,369,395,154,70,145,26,500,43,94
12/26/2021 2:28,12/27/2021 0:54,UTC-06:00,74,49,67,,,5.2,1386,136,63,12/26/2021 2:28,12/26/2021 10:09,85,14.2,428,461,148,104,176,33,504,17,93
12/24/2021 21:52,12/26/2021 2:28,UTC-06:00,59,49,61,,,14.5,2457,186,66,12/24/2021 21:52,12/25/2021 6:59,94,14.3,508,547,200,120,188,39,541,67,92
12/23/2021 23:57,12/24/2021 21:52,UTC-06:00,63,49,65,,,12.1,1844,173,63,12/23/2021 23:57,12/24/2021 7:47,77,14,410,469,120,125,165,59,533,74,88
12/22/2021 23:52,12/23/2021 23:57,UTC-06:00,64,50,64,,,6.3,1516,143,61,12/22/2021 23:52,12/23/2021 7:27,67,14.2,410,453,153,92,165,43,613,140,92
12/22/2021 0:11,12/22/2021 23:52,UTC-06:00,32,51,55,,,12,1904,169,70,12/22/2021 0:11,12/22/2021 3:55,38,14.4,202,223,105,37,60,21,531,52,90
12/20/2021 22:49,12/22/2021 0:11,UTC-06:00,90,45,78,,,13.2,2105,184,65,12/20/2021 22:49,12/21/2021 6:57,82,14.2,465,488,217,55,193,23,569,83,95
12/19/2021 23:18,12/20/2021 22:49,UTC-06:00,91,45,82,,,14.2,2127,181,68,12/19/2021 23:18,12/20/2021 5:32,63,14.4,340,375,156,61,123,35,539,61,91
12/18/2021 23:51,12/19/2021 23:18,UTC-06:00,83,46,71,,,12.9,1884,181,65,12/18/2021 23:51,12/19/2021 7:13,73,14.5,396,440,118,102,176,44,543,86,90
12/18/2021 4:23,12/18/2021 23:51,UTC-06:00,55,59,59,,,5.1,1206,165,64,12/18/2021 4:23,12/18/2021 10:47,62,15.1,331,383,162,69,100,52,537,54,86
12/17/2021 0:44,12/18/2021 4:23,UTC-06:00,39,53,51,,,13.8,2134,198,68,12/17/2021 0:44,12/17/2021 8:41,76,14.9,438,477,197,100,141,39,575,104,91
12/16/2021 1:54,12/17/2021 0:44,UTC-06:00,38,51,54,,,11.4,1779,174,68,12/16/2021 1:54,12/16/2021 7:06,54,14.9,292,308,142,54,96,16,544,49,94
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,84,47,71,,,15.5,2254,192,66,12/14/2021 23:38,12/15/2021 7:17,78,14.1,397,459,122,104,171,62,509,45,86
12/13/2021 22:59,12/14/2021 23:38,UTC-06:00,60,48,61,,,9.5,1773,158,65,12/13/2021 22:59,12/14/2021 6:18,80,14.6,423,436,121,119,183,13,531,56,97
12/12/2021 23:40,12/13/2021 22:59,UTC-06:00,74,48,64,,,12.3,1761,189,62,12/12/2021 23:40,12/13/2021 6:38,75,14.1,398,418,123,93,182,20,532,58,95
12/12/2021 3:19,12/12/2021 23:40,UTC-06:00,43,54,49,,,12.1,1539,181,66,12/12/2021 3:19,12/12/2021 9:43,74,14.8,345,384,146,90,109,39,465,0,89
12/10/2021 15:17,12/12/2021 3:19,UTC-06:00,40,54,53,,,9.9,2405,185,67,12/10/2021 15:17,12/11/2021 5:08,100,15,653,831,303,151,199,178,499,27,78
12/9/2021 22:25,12/10/2021 15:17,UTC-06:00,61,50,59,,,11.6,1423,188,64,12/9/2021 22:25,12/10/2021 6:17,88,14.6,437,472,181,115,141,35,494,0,92
12/8/2021 23:40,12/9/2021 22:25,UTC-06:00,75,49,66,,,15.5,2007,197,65,12/8/2021 23:40,12/9/2021 7:32,100,14.8,430,468,172,97,161,38,427,34,92
12/8/2021 1:10,12/8/2021 23:40,UTC-06:00,,,,,,12.1,1688,186,69,,,,,,,,,,,,,
12/6/2021 22:00,12/8/2021 1:10,UTC-06:00,62,49,60,,,15.3,2229,196,65,12/6/2021 22:00,12/7/2021 6:30,85,15.2,467,503,197,97,173,36,547,90,93
12/6/2021 4:03,12/6/2021 22:00,UTC-06:00,37,51,57,,,4.7,1091,133,60,12/6/2021 4:03,12/6/2021 9:27,60,15.8,289,322,109,72,108,33,479,0,90
12/4/2021 23:29,12/6/2021 4:03,UTC-06:00,34,53,54,,,13.3,2141,192,68,12/4/2021 23:29,12/5/2021 7:48,100,15.9,455,488,201,89,165,33,443,27,93
12/3/2021 21:30,12/4/2021 23:29,UTC-06:00,43,54,61,,,9.7,1850,153,71,12/3/2021 21:30,12/4/2021 5:36,88,14.9,421,486,168,93,160,65,480,17,86
12/2/2021 21:43,12/3/2021 21:30,UTC-06:00,44,55,60,,,8.8,1671,169,64,12/2/2021 21:43,12/3/2021 6:08,94,14.7,443,504,219,92,132,61,472,8,90
12/1/2021 20:57,12/2/2021 21:43,UTC-06:00,52,50,63,,,9.3,1792,150,62,12/1/2021 20:57,12/2/2021 5:46,97,14.4,486,526,186,113,187,40,500,43,92
11/30/2021 19:58,12/1/2021 20:57,UTC-06:00,75,47,74,,,5.1,1530,145,59,11/30/2021 19:58,12/1/2021 4:08,81,14.1,429,488,229,70,130,59,527,56,88
11/29/2021 21:42,11/30/2021 19:58,UTC-06:00,72,46,73,,,11.3,1741,178,66,11/29/2021 21:42,11/30/2021 4:14,75,13.7,352,392,187,69,96,40,472,0,90
11/28/2021 20:47,11/29/2021 21:42,UTC-06:00,98,46,81,,,11.7,1907,185,62,11/28/2021 20:47,11/29/2021 5:56,100,14.3,496,548,124,123,249,52,457,0,90
11/27/2021 20:24,11/28/2021 20:47,UTC-06:00,48,50,58,,,5.7,1500,128,59,11/27/2021 20:24,11/28/2021 5:30,100,14.6,490,545,198,106,186,55,485,0,90
11/26/2021 21:05,11/27/2021 20:24,UTC-06:00,80,48,73,,,14.2,2046,188,62,11/26/2021 21:05,11/27/2021 6:02,100,14.3,503,534,203,103,197,31,484,26,94
11/25/2021 22:25,11/26/2021 21:05,UTC-06:00,46,50,58,,,5.8,1431,135,60,11/25/2021 22:25,11/26/2021 6:17,91,14.6,445,471,204,82,159,26,491,0,94
11/24/2021 21:43,11/25/2021 22:25,UTC-06:00,52,51,62,,,15.1,2078,192,66,11/24/2021 21:43,11/25/2021 6:36,100,14.4,493,530,215,100,178,37,487,14,93
11/23/2021 20:15,11/24/2021 21:43,UTC-06:00,80,48,74,,,11.9,1856,190,66,11/23/2021 20:15,11/24/2021 4:59,95,14.6,497,525,187,99,211,28,521,58,95
11/23/2021 0:33,11/23/2021 20:15,UTC-06:00,76,53,73,,,9.1,1452,158,64,11/23/2021 0:33,11/23/2021 7:45,80,14.5,392,429,206,53,133,37,489,23,91
11/21/2021 21:45,11/23/2021 0:33,UTC-06:00,45,49,59,,,10,1903,162,65,11/21/2021 21:45,11/22/2021 6:05,92,14.1,479,500,206,103,170,21,523,61,96
11/20/2021 23:34,11/21/2021 21:45,UTC-06:00,80,53,77,,,8.5,1566,149,65,11/20/2021 23:34,11/21/2021 7:05,73,14.6,413,450,163,79,171,37,565,108,92
11/20/2021 6:50,11/20/2021 23:34,UTC-06:00,85,44,81,,,4.8,1039,134,57,11/20/2021 6:50,11/20/2021 11:09,52,14,242,259,98,38,106,17,467,8,93
11/18/2021 21:54,11/20/2021 6:50,UTC-06:00,74,48,71,,,6.6,2063,152,60,11/18/2021 21:54,11/19/2021 6:12,97,14.4,456,498,208,117,131,42,468,0,91
11/17/2021 19:50,11/18/2021 21:54,UTC-06:00,59,48,65,,,10.8,1912,171,60,11/17/2021 19:50,11/18/2021 6:34,100,14.5,581,633,320,108,153,52,550,68,92
11/16/2021 21:04,11/17/2021 19:50,UTC-06:00,64,49,67,,,13.7,1884,181,66,11/16/2021 21:04,11/17/2021 3:58,70,14.2,388,413,181,72,135,25,555,77,93
11/15/2021 21:39,11/16/2021 21:04,UTC-06:00,63,47,66,,,13,1829,183,60,11/15/2021 21:39,11/16/2021 3:57,66,14.5,321,377,154,71,96,56,488,23,85
11/14/2021 21:25,11/15/2021 21:39,UTC-06:00,75,46,75,,,9.8,1781,170,61,11/14/2021 21:25,11/15/2021 6:14,92,14.5,501,526,211,89,201,25,548,72,95
11/13/2021 23:55,11/14/2021 21:25,UTC-06:00,73,48,77,,,12.4,1700,188,61,11/13/2021 23:55,11/14/2021 6:16,68,14.3,351,380,169,70,112,29,516,43,92
